,company_id,mean_share_outstanding_2021,mean_share_outstanding_2022,mean_share_outstanding_2023,mean_eps_2021,mean_eps_2022,mean_eps_2023,mean_pe_ratio_2021,mean_pe_ratio_2022,mean_pe_ratio_2023,mean_price_to_sales_2021,mean_price_to_sales_2022,mean_price_to_sales_2023,mean_ebitda_2021,mean_ebitda_2022,mean_ebitda_2023,mean_return_on_assets_2021,mean_return_on_assets_2022,mean_return_on_assets_2023,mean_return_on_equity_2021,mean_return_on_equity_2022,mean_return_on_equity_2023,mean_return_on_capital_employed_2021,mean_return_on_capital_employed_2022,mean_return_on_capital_employed_2023,mean_interest_coverage_2021,mean_interest_coverage_2022,mean_interest_coverage_2023,cluster
17,17,9840000000.0,10520000000.0,10520000000.0,51.629999999999995,54.755,45.45666666666667,26.53,25.8525,28.356666666666666,4.035,4.3475,3.723333333333333,734015000000.0,788447500000.0,434273333333.3333,0.0033,0.003349999999999975,0.0026999999999999997,0.04105,0.041675000000000004,0.0318,0.004274999999999975,0.004224999999999975,0.0032333333333333,0.0,0.0,0.0,1
18,18,15020000000.0,15020000000.0,15020000000.0,25.36,25.6875,24.30333333333333,29.4375,28.9375,28.313333333333333,6.6899999999999995,6.4375,5.650000000000001,528672500000.0,586237500000.0,373206666666.6667,0.003974999999999999,0.0037,0.0035666666666666334,0.03624999999999998,0.035625,0.03133333333333333,0.0048000000000000004,0.004699999999999975,0.004666666666666634,0.0,0.0,0.0,1
19,19,67080000000.0,67080000000.0,167710000000.0,0.975,-0.6074999999999999,0.06999999999999999,56.182500000000005,-67.4925,-1668.783333333333,19.165,26.0125,67.42,127287500000.0,55545000000.0,53656666666.666664,0.0035499999999999998,-0.00245,0.0006333333333333335,0.007275,-0.004575,0.0006999999999999998,0.008324999999999999,0.0032999999999999995,0.0006333333333333333,1.8175000000000001,0.35000000000000003,0.19333333333333327,1
20,20,46670000000.0,46670000000.0,77776666666.66667,150.14999999999998,220.555,184.3733333333333,42.559999999999995,39.8125,39.10333333333333,10.4475,12.925,14.086666666666668,10499540000000.0,15170432500000.0,18818646666666.668,0.004274999999999975,0.0056249999999999495,0.006666666666666667,0.036175,0.04914999999999998,0.0564666666666666,0.005974999999999999,0.0078000000000000005,0.009066666666666667,0.0,0.0,0.0,0
21,21,16579999999.999998,16579999999.999998,16579999999.999998,20.9425,17.7475,9.896666666666667,14.142500000000002,17.6525,48.56999999999999,1.255,1.5725000000000002,1.8099999999999998,1377297500000.0,1232867500000.0,863430000000.0,0.010199999999999975,0.00835,0.0045,0.026249999999999978,0.019949999999999975,0.010733333333333333,0.035075,0.028875,0.014433333333333333,4.9275,5.8925,2.186666666666667,1
22,22,25130000000.0,25130000000.0,25130000000.0,40.78999999999999,50.1525,65.01333333333334,23.5425,21.95,23.253333333333334,5.08,5.7575,6.82,1499940000000.0,1910872500000.0,2317176666666.6665,0.003525,0.0040999999999999995,0.004900000000000001,0.024375,0.028624999999999998,0.03496666666666667,0.00445,0.0053,0.006233333333333333,0.0,0.0,0.0,1
23,23,32102500000.0,36180000000.0,36180000000.0,9.79,13.9125,19.71666666666667,239.73,5.144999999999996,48.44,17.497500000000002,12.01,7.920000000000001,490690000000.0,800087500000.0,1008140000000.0,0.001425,0.002225,0.0028333333333333335,0.008549999999999974,0.0135,0.0184,0.001875,0.002824999999999975,0.0036333333333333335,0.0,0.0,0.0,1
24,24,93660000000.0,93750000000.0,93750000000.0,4.16,0.07249999999999995,1.9733333333333334,671.0675,-5793.804999999999,700.5666666666666,7.615,6.5525,8.146666666666667,2818332500000.0,1674210000000.0,2072693333333.3333,0.0034249999999999997,7.499999999999998e-05,0.0013333333333333333,0.018574999999999998,0.00017500000000000003,0.0076333333333333,0.02215,0.008275,0.010333333333333333,3.375,1.405,1.2066666666666668,1
25,25,21170000000.0,21170000000.0,21170000000.0,15.924999999999997,28.732499999999998,27.853333333333335,99.6975,70.8575,44.873333333333335,11.6925,8.3475,9.159999999999998,706370000000.0,1038280000000.0,898653333333.3334,0.005475,0.009424999999999975,0.008566666666666667,0.010925,0.018424999999999976,0.016633333333333333,0.01195,0.01765,0.013566666666666666,1.2275,1.8125,1.5333333333333332,1
26,26,8150000000.0,8150000000.0,8150000000.0,81.75,94.97,85.64333333333333,37.2675,27.4625,31.25,6.14,5.297499999999999,4.586666666666667,1221872500000.0,1373115000000.0,849916666666.6666,0.0037,0.003875,0.0034999999999999996,0.020250000000000004,0.021649999999999975,0.018366666666666632,0.005575,0.00592499999999995,0.0051333333333333335,0.0,0.0,0.0,1
27,27,74270000000.0,193220000000.0,371320000000.0,8.075,11.947500000000002,0.81,1.4224999999999994,11.41,9.086666666666664,1.3425,3.3674999999999997,7.963333333333334,583957500000.0,1011810000000.0,447033333333.3333,0.010475,0.030125,0.004666666666666632,-0.08524999999999999,-0.4705749999999999,0.012666666666666668,0.014025,0.039424999999999974,0.0015333333333333345,0.5700000000000001,1.2449999999999999,0.2133333333333335,1
28,28,12000000000.0,12000000000.0,12000000000.0,3.7675,4.075,5.69,120.245,121.9475,102.39333333333333,19.76,17.3525,18.150000000000002,87895000000.0,99902500000.0,126246666666.66667,0.03305,0.031,0.03713333333333333,0.046525,0.04395,0.05223333333333333,0.05545,0.055249999999999994,0.05933333333333333,38.3775,47.91499999999999,24.606666666666666,0
