index,Unnamed: 0,company_id,mean_share_outstanding,mean_eps,mean_pe_ratio,mean_price_to_sales,mean_ebitda,mean_return_on_assets,mean_return_on_equity,mean_return_on_capital_employed,mean_interest_coverage,one_week,three_month,one_month,six_month,one_year,three_year,cluster,price
24,24,24,93717272727.27272,2.077272727272727,-1671.75,7.373636363636362,2198931818181.818,0.0016363636363636,0.0088999999999999,0.0138818181818181,2.067272727272728,-0.1697,-0.0506,-0.003571,0.4901,0.372,-0.0343,2,1080
25,25,25,21170000000.0,23.835454545454542,74.25818181818182,9.785454545454543,879505454545.4546,0.0077545454545454,0.0152090909090909,0.0144636363636363,1.5236363636363637,0.0,0.0478,0.000788,-0.0179,0.1967,-0.1134,0,1100
26,26,26,8150000000.0,87.61909090909089,32.06090909090909,5.409999999999999,1175427272727.2727,0.0037090909090909,0.0202454545454545,0.0055818181818181,0.0,-0.0189,-0.03,-0.000152,-0.0616,0.0658,-0.1881,2,2610
27,27,27,198538181818.18185,7.501818181818183,7.144545454545455,3.8845454545454543,702197272727.2727,0.0160363636363636,-0.1986636363636363,0.0198545454545454,0.7181818181818184,-0.0102,-0.2595,0.0,-0.2239999999999999,-0.3169,0.2435999999999999,2,96
28,28,28,12000000000.0,4.403636363636363,115.99545454545456,18.44545454545454,102720909090.90907,0.0334181818181818,0.0471454545454545,0.0564363636363636,38.09,0.0074,0.062,0.00062,0.0703,0.4891,0.2685,0,680
29,29,29,16399999999.999998,51.14272727272728,-1.0990909090909184,6.873636363636364,1489712727272.7273,0.0224,0.0317636363636363,0.0404818181818181,11.447272727272724,-0.0302,-0.1315,-0.000408,-0.1033,-0.2288,-0.2805999999999999,1,4820
30,30,30,18554545454.545456,23.42,47.00363636363636,8.057272727272728,848912727272.7273,0.0105636363636363,0.0246727272727272,0.0249818181818181,2.6945454545454544,0.0644,0.2217,0.001171,0.1643,0.3933,0.2217,0,1255
31,31,31,48200000000.0,4.79090909090909,177.19454545454545,91.09545454545454,223693636363.63635,0.0345272727272727,0.0393545454545454,0.0366818181818181,17.388181818181817,0.0124,-0.0686,-0.000578,-0.0298,0.0252,-0.3427,1,162
32,32,32,8620000000.0,8.286363636363637,-63.23636363636365,0.6645454545454544,1215299090909.0908,0.0018727272727272,0.0175363636363636,0.0268727272727272,1.66,0.0713999999999999,-0.2973,0.0008939999999999,-0.025,0.4029,0.0773,0,382
33,33,33,7300000000.0,11.126363636363635,180.77818181818185,0.8981818181818183,246459090909.0909,0.0095090909090909,0.0198818181818181,0.0244727272727272,4.409090909090908,-0.0051,-0.0297,5.1000000000000006e-05,0.071,0.3243,-0.0755,0,388
34,34,34,14790000000.0,20.705454545454543,48.53818181818181,0.6445454545454545,581262727272.7273,0.0160363636363636,0.0364818181818181,0.0579818181818181,6.276363636363637,0.0096,-0.0498,0.001602,-0.1463,0.0,-0.1139,1,416
35,35,35,16088181818.181818,14.523636363636363,139.84181818181818,7.232727272727273,756741818181.8182,0.0177454545454545,0.0515090909090909,0.0541272727272727,4.920909090909091,0.0354,-0.2251999999999999,0.000446,-0.1268999999999999,-0.2994,1.6351,1,565
36,36,36,11596363636.363636,27.120000000000005,109.3990909090909,3.9263636363636354,3308170909090.909,0.004090909090909,0.0143454545454545,0.0193454545454545,1.5799999999999998,0.0341,-0.1055,0.000392,0.0443,-0.0783,-0.2455999999999999,0,2110
37,37,37,2480000000.0,11.050000000000004,60.47727272727274,6.626363636363638,217430000000.0,0.0018999999999999,0.0052363636363636,0.0138636363636363,2.3863636363636367,0.0,-0.0043,0.0,-0.0293,-0.072,-0.1888,2,5800
38,38,38,1920000000.0,606.7663636363636,3.57272727272727,1.8954545454545453,2326813636363.636,0.0137181818181817,0.0197181818181818,0.0259999999999999,66.41000000000003,-0.0202,-0.1767999999999999,-9.6e-05,-0.2603,0.1788,-0.5006,1,20400
39,39,39,3480000000.0,15.762727272727272,-23.60545454545455,0.6027272727272728,429795454545.4545,0.0029727272727272,0.0070272727272727,0.0182818181818181,1.4572727272727273,0.1273,0.7103,0.0024,0.0248,1.2143000000000002,0.503,0,1215
40,40,40,116320000000.0,15.37,69.2009090909091,4.444545454545454,2416691818181.8184,0.0355363636363636,0.0629636363636363,0.0699454545454545,176.9518181818182,-0.0169,0.0235,-0.000333,-0.0794,0.0482,-0.4219,1,870
